#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
265 0.074094 0.755160 0.060499 0.060499 0.060499 0.060499
266 0.074331 0.753711 0.060854 0.060854 0.060854 0.060854
267 0.074568 0.752251 0.061211 0.061211 0.061211 0.061211
268 0.074805 0.750782 0.061571 0.061571 0.061571 0.061571
269 0.075041 0.749304 0.061933 0.061933 0.061933 0.061933
270 0.075278 0.747820 0.062297 0.062297 0.062297 0.062297
271 0.075515 0.746329 0.062662 0.062662 0.062662 0.062662
272 0.075751 0.744835 0.063028 0.063028 0.063028 0.063028
273 0.075988 0.743337 0.063395 0.063395 0.063395 0.063395
274 0.076225 0.741838 0.063762 0.063762 0.063762 0.063762
275 0.076461 0.740339 0.064130 0.064130 0.064130 0.064130
276 0.076697 0.738841 0.064497 0.064497 0.064497 0.064497
277 0.076934 0.737346 0.064863 0.064863 0.064863 0.064863
278 0.077170 0.735856 0.065228 0.065228 0.065228 0.065228
279 0.077406 0.734371 0.065592 0.065592 0.065592 0.065592
280 0.077643 0.732894 0.065953 0.065953 0.065953 0.065953
281 0.077879 0.731426 0.066313 0.066313 0.066313 0.066313
282 0.078115 0.729969 0.066670 0.066670 0.066670 0.066670
283 0.078351 0.728523 0.067024 0.067024 0.067024 0.067024
284 0.078587 0.727091 0.067375 0.067375 0.067375 0.067375
285 0.078823 0.725673 0.067722 0.067722 0.067722 0.067722
286 0.079059 0.724273 0.068065 0.068065 0.068065 0.068065
287 0.079295 0.722889 0.068404 0.068404 0.068404 0.068404
288 0.079530 0.721525 0.068738 0.068738 0.068738 0.068738
289 0.079766 0.720182 0.069067 0.069067 0.069067 0.069067
290 0.080002 0.718860 0.069390 0.069390 0.069390 0.069390
291 0.080238 0.717562 0.069708 0.069708 0.069708 0.069708
292 0.080473 0.716287 0.070020 0.070020 0.070020 0.070020
293 0.080709 0.715038 0.070325 0.070325 0.070325 0.070325
294 0.080944 0.713816 0.070624 0.070624 0.070624 0.070624
295 0.081180 0.712622 0.070917 0.070917 0.070917 0.070917
296 0.081415 0.711456 0.071202 0.071202 0.071202 0.071202
297 0.081651 0.710320 0.071480 0.071480 0.071480 0.071480
298 0.081886 0.709214 0.071750 0.071750 0.071750 0.071750
299 0.082121 0.708140 0.072012 0.072012 0.072012 0.072012
300 0.082357 0.707097 0.072267 0.072267 0.072267 0.072267
301 0.082592 0.706088 0.072514 0.072514 0.072514 0.072514
302 0.082827 0.705111 0.072752 0.072752 0.072752 0.072752
303 0.083062 0.704168 0.072982 0.072982 0.072982 0.072982
304 0.083297 0.703260 0.073204 0.073204 0.073204 0.073204
305 0.083533 0.702386 0.073417 0.073417 0.073417 0.073417
306 0.083768 0.701546 0.073622 0.073622 0.073622 0.073622
307 0.084003 0.700742 0.073818 0.073818 0.073818 0.073818
308 0.084237 0.699973 0.074005 0.074005 0.074005 0.074005
309 0.084472 0.699238 0.074184 0.074184 0.074184 0.074184
310 0.084707 0.698538 0.074354 0.074354 0.074354 0.074354
311 0.084942 0.697873 0.074516 0.074516 0.074516 0.074516
312 0.085177 0.697243 0.074669 0.074669 0.074669 0.074669
313 0.085412 0.696646 0.074814 0.074814 0.074814 0.074814
314 0.085646 0.696083 0.074951 0.074951 0.074951 0.074951
315 0.085881 0.695553 0.075079 0.075079 0.075079 0.075079
316 0.086116 0.695055 0.075200 0.075200 0.075200 0.075200
317 0.086350 0.694589 0.075312 0.075312 0.075312 0.075312
318 0.086585 0.694154 0.075417 0.075417 0.075417 0.075417
319 0.086819 0.693749 0.075515 0.075515 0.075515 0.075515
320 0.087054 0.693373 0.075606 0.075606 0.075606 0.075606
321 0.087288 0.693025 0.075690 0.075690 0.075690 0.075690
322 0.087522 0.692703 0.075767 0.075767 0.075767 0.075767
323 0.087757 0.692408 0.075838 0.075838 0.075838 0.075838
324 0.087991 0.692137 0.075903 0.075903 0.075903 0.075903
325 0.088225 0.691888 0.075962 0.075962 0.075962 0.075962
326 0.088459 0.691662 0.076016 0.076016 0.076016 0.076016
327 0.088694 0.691456 0.076065 0.076065 0.076065 0.076065
328 0.088928 0.691268 0.076109 0.076109 0.076109 0.076109
329 0.089162 0.691098 0.076149 0.076149 0.076149 0.076149
330 0.089396 0.690943 0.076185 0.076185 0.076185 0.076185
331 0.089630 0.690803 0.076218 0.076218 0.076218 0.076218
332 0.089864 0.690674 0.076248 0.076248 0.076248 0.076248
333 0.090098 0.690557 0.076275 0.076275 0.076275 0.076275
334 0.090332 0.690448 0.076300 0.076300 0.076300 0.076300
335 0.090565 0.690346 0.076324 0.076324 0.076324 0.076324
336 0.090799 0.690249 0.076346 0.076346 0.076346 0.076346
337 0.091033 0.690156 0.076367 0.076367 0.076367 0.076367
338 0.091267 0.690065 0.076388 0.076388 0.076388 0.076388
339 0.091500 0.689973 0.076409 0.076409 0.076409 0.076409
340 0.091734 0.689879 0.076431 0.076431 0.076431 0.076431
341 0.091967 0.689782 0.076453 0.076453 0.076453 0.076453
342 0.092201 0.689679 0.076477 0.076477 0.076477 0.076477
343 0.092435 0.689568 0.076503 0.076503 0.076503 0.076503
344 0.092668 0.689448 0.076531 0.076531 0.076531 0.076531
345 0.092901 0.689317 0.076562 0.076562 0.076562 0.076562
346 0.093135 0.689174 0.076596 0.076596 0.076596 0.076596
347 0.093368 0.689016 0.076634 0.076634 0.076634 0.076634
348 0.093601 0.688842 0.076676 0.076676 0.076676 0.076676
349 0.093835 0.688650 0.076722 0.076722 0.076722 0.076722
350 0.094068 0.688439 0.076773 0.076773 0.076773 0.076773
351 0.094301 0.688207 0.076829 0.076829 0.076829 0.076829
352 0.094534 0.687953 0.076891 0.076891 0.076891 0.076891
353 0.094767 0.687675 0.076958 0.076958 0.076958 0.076958
354 0.095000 0.687372 0.077032 0.077032 0.077032 0.077032
