#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
348 0.092313 0.689642 0.076486 0.076486 0.076486 0.076486
349 0.092551 0.689522 0.076514 0.076514 0.076514 0.076514
350 0.092789 0.689392 0.076544 0.076544 0.076544 0.076544
351 0.093028 0.689250 0.076578 0.076578 0.076578 0.076578
352 0.093266 0.689093 0.076615 0.076615 0.076615 0.076615
353 0.093504 0.688921 0.076657 0.076657 0.076657 0.076657
354 0.093742 0.688730 0.076702 0.076702 0.076702 0.076702
355 0.093980 0.688520 0.076753 0.076753 0.076753 0.076753
356 0.094218 0.688290 0.076809 0.076809 0.076809 0.076809
357 0.094456 0.688036 0.076870 0.076870 0.076870 0.076870
358 0.094694 0.687758 0.076938 0.076938 0.076938 0.076938
359 0.094932 0.687455 0.077012 0.077012 0.077012 0.077012
360 0.095169 0.687125 0.077092 0.077092 0.077092 0.077092
361 0.095407 0.686766 0.077180 0.077180 0.077180 0.077180
362 0.095645 0.686378 0.077274 0.077274 0.077274 0.077274
363 0.095882 0.685960 0.077377 0.077377 0.077377 0.077377
364 0.096120 0.685509 0.077487 0.077487 0.077487 0.077487
365 0.096358 0.685026 0.077606 0.077606 0.077606 0.077606
366 0.096595 0.684510 0.077732 0.077732 0.077732 0.077732
367 0.096833 0.683959 0.077868 0.077868 0.077868 0.077868
368 0.097070 0.683373 0.078011 0.078011 0.078011 0.078011
369 0.097307 0.682751 0.078164 0.078164 0.078164 0.078164
370 0.097545 0.682094 0.078326 0.078326 0.078326 0.078326
371 0.097782 0.681400 0.078497 0.078497 0.078497 0.078497
372 0.098019 0.680669 0.078676 0.078676 0.078676 0.078676
373 0.098256 0.679901 0.078865 0.078865 0.078865 0.078865
374 0.098493 0.679096 0.079064 0.079064 0.079064 0.079064
375 0.098731 0.678254 0.079271 0.079271 0.079271 0.079271
376 0.098968 0.677375 0.079487 0.079487 0.079487 0.079487
377 0.099205 0.676460 0.079713 0.079713 0.079713 0.079713
378 0.099441 0.675508 0.079948 0.079948 0.079948 0.079948
379 0.099678 0.674520 0.080191 0.080191 0.080191 0.080191
380 0.099915 0.673496 0.080444 0.080444 0.080444 0.080444
381 0.100152 0.672438 0.080705 0.080705 0.080705 0.080705
382 0.100389 0.671345 0.080974 0.080974 0.080974 0.080974
383 0.100625 0.670220 0.081252 0.081252 0.081252 0.081252
384 0.100862 0.669061 0.081537 0.081537 0.081537 0.081537
385 0.101099 0.667871 0.081831 0.081831 0.081831 0.081831
386 0.101335 0.666651 0.082132 0.082132 0.082132 0.082132
387 0.101572 0.665401 0.082440 0.082440 0.082440 0.082440
388 0.101808 0.664124 0.082756 0.082756 0.082756 0.082756
389 0.102045 0.662819 0.083078 0.083078 0.083078 0.083078
